,user_name,text,lowercase,unwanted_spaces,urls,html_encodings,usernames,pne,three_characters,stopwords,tokenize,lemmatize,duplicate,clean_text
32,Marie Bloomer,RT @sussexsquadpod1: Since #QueenElizabeth is finally making decisions based on what we saw with #PrinceAndrew is she going to ungag the pr…,rt @sussexsquadpod1: since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt @sussexsquadpod1: since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt @sussexsquadpod1: since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt @sussexsquadpod1: since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt : since #queenelizabeth is finally making decisions based on what we saw with #princeandrew is she going to ungag the pr…,rt   since  queenelizabeth is finally making decisions based on what we saw with  princeandrew is she going to ungag the pr ,since queenelizabeth finally making decisions based what with princeandrew going ungag,since queenelizabeth finally making decisions based princeandrew going ungag,"['since', 'queenelizabeth', 'finally', 'making', 'decisions', 'based', 'princeandrew', 'going', 'ungag']",since queenelizabeth finally make decision base princeandrew go ungag,since queenelizabeth finally make decision base princeandrew go ungag,since queenelizabeth finally make decision base princeandrew go ungag
33,Marie Bloomer,"RT @Ces_gurl: Someone needs to tell William and Andrew that a happy Meghan, along with a much stronger Harry, will not be their whipping bo…","rt @ces_gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…","rt @ces_gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…","rt @ces_gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…","rt @ces_gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…","rt _gurl: someone needs to tell william and andrew that a happy meghan, along with a much stronger harry, will not be their whipping bo…",rt  gurl  someone needs to tell william and andrew that a happy meghan  along with a much stronger harry  will not be their whipping bo ,gurl someone needs tell william andrew that happy meghan along with much stronger harry will their whipping,gurl someone needs tell william andrew happy meghan along much stronger harry whipping,"['gurl', 'someone', 'needs', 'tell', 'william', 'andrew', 'happy', 'meghan', 'along', 'much', 'stronger', 'harry', 'whipping']",gurl someone need tell william andrew happy meghan along much strong harry whip,gurl someone need tell william andrew happy meghan along much strong harry whip,gurl someone need tell william andrew happy meghan along much strong harry whip
34,Marie Bloomer,"RT @byetwit: Since #PrinceWilliamAffair is so willing to take credit for making the #RacistRoyalFamily's ""tough"" decisions. We can blame hi…","rt @byetwit: since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…","rt @byetwit: since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…","rt @byetwit: since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…","rt @byetwit: since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…","rt : since #princewilliamaffair is so willing to take credit for making the #racistroyalfamily's ""tough"" decisions. we can blame hi…",rt   since  princewilliamaffair is so willing to take credit for making the  racistroyalfamily s  tough  decisions  we can blame hi ,since princewilliamaffair willing take credit making racistroyalfamily tough decisions blame,since princewilliamaffair willing take credit making racistroyalfamily tough decisions blame,"['since', 'princewilliamaffair', 'willing', 'take', 'credit', 'making', 'racistroyalfamily', 'tough', 'decisions', 'blame']",since princewilliamaffair will take credit make racistroyalfamily tough decision blame,since princewilliamaffair will take credit make racistroyalfamily tough decision blame,since princewilliamaffair will take credit make racistroyalfamily tough decision blame
35,Marie Bloomer,"RT @margmak: Leak…….
Surreptitious TIMING:
#Distraction 
#PartyGate #DowningStreet 
#BorisJohnsonResign #Scandal #SueGray #Andrew #PrinceAn…","rt @margmak: leak…….
surreptitious timing:
#distraction 
#partygate #downingstreet 
#borisjohnsonresign #scandal #suegray #andrew #princean…",rt @margmak: leak……. surreptitious timing: #distraction #partygate #downingstreet #borisjohnsonresign #scandal #suegray #andrew #princean…,rt @margmak: leak……. surreptitious timing: #distraction #partygate #downingstreet #borisjohnsonresign #scandal #suegray #andrew #princean…,rt @margmak: leak……. surreptitious timing: #distraction #partygate #downingstreet #borisjohnsonresign #scandal #suegray #andrew #princean…,rt : leak……. surreptitious timing: #distraction #partygate #downingstreet #borisjohnsonresign #scandal #suegray #andrew #princean…,rt   leak    surreptitious timing   distraction  partygate  downingstreet  borisjohnsonresign  scandal  suegray  andrew  princean ,leak surreptitious timing distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,leak surreptitious timing distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,"['leak', 'surreptitious', 'timing', 'distraction', 'partygate', 'downingstreet', 'borisjohnsonresign', 'scandal', 'suegray', 'andrew', 'princean']",leak surreptitious time distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,leak surreptitious time distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,leak surreptitious time distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean
36,Marie Bloomer,RT @byetwit: Prove to me that #PrinceWilliamAffair didn't direct his friends at Viscount Rothermere's #DailyFail to print the lie about som…,rt @byetwit: prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt @byetwit: prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt @byetwit: prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt @byetwit: prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt : prove to me that #princewilliamaffair didn't direct his friends at viscount rothermere's #dailyfail to print the lie about som…,rt   prove to me that  princewilliamaffair didn t direct his friends at viscount rothermere s  dailyfail to print the lie about som ,prove that princewilliamaffair didn direct friends viscount rothermere dailyfail print about,prove princewilliamaffair direct friends viscount rothermere dailyfail print,"['prove', 'princewilliamaffair', 'direct', 'friends', 'viscount', 'rothermere', 'dailyfail', 'print']",prove princewilliamaffair direct friend viscount rothermere dailyfail print,prove princewilliamaffair direct friend viscount rothermere dailyfail print,prove princewilliamaffair direct friend viscount rothermere dailyfail print
37,Marie Bloomer,"RT @Lord_Belacqua: The Sussex Squad are desperate to abuse Rose Hanbury, a young mother of small children with lies.

I guess this just abo…","rt @lord_belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies.

i guess this just abo…","rt @lord_belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies. i guess this just abo…","rt @lord_belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies. i guess this just abo…","rt @lord_belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies. i guess this just abo…","rt _belacqua: the sussex squad are desperate to abuse rose hanbury, a young mother of small children with lies. i guess this just abo…",rt  belacqua  the sussex squad are desperate to abuse rose hanbury  a young mother of small children with lies  i guess this just abo ,belacqua sussex squad desperate abuse rose hanbury young mother small children with lies guess this just,belacqua sussex squad desperate abuse rose hanbury young mother small children lies guess,"['belacqua', 'sussex', 'squad', 'desperate', 'abuse', 'rose', 'hanbury', 'young', 'mother', 'small', 'children', 'lies', 'guess']",belacqua sussex squad desperate abuse rise hanbury young mother small child lie guess,belacqua sussex squad desperate abuse rise hanbury young mother small child lie guess,belacqua sussex squad desperate abuse rise hanbury young mother small child lie guess
38,Marie Bloomer,"RT @sannetje_26: #TriedToDianaPrinceHarry 
And his family just because he married a black woman. Hell won't be good enough for these people…","rt @sannetje_26: #triedtodianaprinceharry 
and his family just because he married a black woman. hell won't be good enough for these people…",rt @sannetje_26: #triedtodianaprinceharry and his family just because he married a black woman. hell won't be good enough for these people…,rt @sannetje_26: #triedtodianaprinceharry and his family just because he married a black woman. hell won't be good enough for these people…,rt @sannetje_26: #triedtodianaprinceharry and his family just because he married a black woman. hell won't be good enough for these people…,rt _26: #triedtodianaprinceharry and his family just because he married a black woman. hell won't be good enough for these people…,rt       triedtodianaprinceharry and his family just because he married a black woman  hell won t be good enough for these people ,triedtodianaprinceharry family just because married black woman hell good enough these people,triedtodianaprinceharry family married black woman hell good enough people,"['triedtodianaprinceharry', 'family', 'married', 'black', 'woman', 'hell', 'good', 'enough', 'people']",triedtodianaprinceharry family marry black woman hell good enough people,triedtodianaprinceharry family marry black woman hell good enough people,triedtodianaprinceharry family marry black woman hell good enough people
39,Marie Bloomer,"RT @ArchieStannumb1: Every time they attack Harry or Meghan without reason, please use #princewilliamaffair and #PrinceAndrew to respond.Ma…","rt @archiestannumb1: every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…","rt @archiestannumb1: every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…","rt @archiestannumb1: every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…","rt @archiestannumb1: every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…","rt : every time they attack harry or meghan without reason, please use #princewilliamaffair and #princeandrew to respond.ma…",rt   every time they attack harry or meghan without reason  please use  princewilliamaffair and  princeandrew to respond ma ,every time they attack harry meghan without reason please princewilliamaffair princeandrew respond,every time attack harry meghan without reason please princewilliamaffair princeandrew respond,"['every', 'time', 'attack', 'harry', 'meghan', 'without', 'reason', 'please', 'princewilliamaffair', 'princeandrew', 'respond']",every time attack harry meghan without reason please princewilliamaffair princeandrew respond,every time attack harry meghan without reason please princewilliamaffair princeandrew respond,every time attack harry meghan without reason please princewilliamaffair princeandrew respond
40,Marie Bloomer,RT @DBFole13: Whatever happened to #princewilliamaffair ?,rt @dbfole13: whatever happened to #princewilliamaffair ?,rt @dbfole13: whatever happened to #princewilliamaffair ?,rt @dbfole13: whatever happened to #princewilliamaffair ?,rt @dbfole13: whatever happened to #princewilliamaffair ?,rt : whatever happened to #princewilliamaffair ?,rt   whatever happened to  princewilliamaffair  ,whatever happened princewilliamaffair,whatever happened princewilliamaffair,"['whatever', 'happened', 'princewilliamaffair']",whatever happen princewilliamaffair,whatever happen princewilliamaffair,whatever happen princewilliamaffair
41,Marie Bloomer,"RT @MakanaSmakana: First #princewilliamaffair trended globally, then Flopiana (thanks @PaganTrelawney ) flopped with her birthday PR, now #…","rt @makanasmakana: first #princewilliamaffair trended globally, then flopiana (thanks @pagantrelawney ) flopped with her birthday pr, now #…","rt @makanasmakana: first #princewilliamaffair trended globally, then flopiana (thanks @pagantrelawney ) flopped with her birthday pr, now #…","rt @makanasmakana: first #princewilliamaffair trended globally, then flopiana (thanks @pagantrelawney ) flopped with her birthday pr, now #…","rt @makanasmakana: first #princewilliamaffair trended globally, then flopiana (thanks @pagantrelawney ) flopped with her birthday pr, now #…","rt : first #princewilliamaffair trended globally, then flopiana (thanks  ) flopped with her birthday pr, now #…",rt   first  princewilliamaffair trended globally  then flopiana  thanks    flopped with her birthday pr  now   ,first princewilliamaffair trended globally then flopiana thanks flopped with birthday,first princewilliamaffair trended globally flopiana thanks flopped birthday,"['first', 'princewilliamaffair', 'trended', 'globally', 'flopiana', 'thanks', 'flopped', 'birthday']",first princewilliamaffair trend globally flopiana thank flop birthday,first princewilliamaffair trend globally flopiana thank flop birthday,first princewilliamaffair trend globally flopiana thank flop birthday
42,Marie Bloomer,"RT @ladyrocksavage: Let it be known there are reasons why we never got stories of #princewilliamaffair being a good soldier, an asset while…","rt @ladyrocksavage: let it be known there are reasons why we never got stories of #princewilliamaffair being a good soldier, an asset while…","rt @ladyrocksavage: let it be known there are reasons why we never got stories of #princewilliamaffair being a good soldier, an asset while…","rt @ladyrocksavage: let it be known there are reasons why we never got stories of #princewilliamaffair being a good soldier, an asset while…","rt @ladyrocksavage: let it be known there are reasons why we never got stories of #princewilliamaffair being a good soldier, an asset while…","rt : let it be known there are reasons why we never got stories of #princewilliamaffair being a good soldier, an asset while…",rt   let it be known there are reasons why we never got stories of  princewilliamaffair being a good soldier  an asset while ,known there reasons never stories princewilliamaffair being good soldier asset while,known reasons never stories princewilliamaffair good soldier asset,"['known', 'reasons', 'never', 'stories', 'princewilliamaffair', 'good', 'soldier', 'asset']",know reason never story princewilliamaffair good soldier asset,know reason never story princewilliamaffair good soldier asset,know reason never story princewilliamaffair good soldier asset
43,Marie Bloomer,"RT @jared_secret: When does #PrinceAndrewTrial start? I know #PrinceWilliamAffair #PrinceCharlesTamponKing, and #QueenElizabethIIenablesdeg…","rt @jared_secret: when does #princeandrewtrial start? i know #princewilliamaffair #princecharlestamponking, and #queenelizabethiienablesdeg…","rt @jared_secret: when does #princeandrewtrial start? i know #princewilliamaffair #princecharlestamponking, and #queenelizabethiienablesdeg…","rt @jared_secret: when does #princeandrewtrial start? i know #princewilliamaffair #princecharlestamponking, and #queenelizabethiienablesdeg…","rt @jared_secret: when does #princeandrewtrial start? i know #princewilliamaffair #princecharlestamponking, and #queenelizabethiienablesdeg…","rt _secret: when does #princeandrewtrial start? i know #princewilliamaffair #princecharlestamponking, and #queenelizabethiienablesdeg…",rt  secret  when does  princeandrewtrial start  i know  princewilliamaffair  princecharlestamponking  and  queenelizabethiienablesdeg ,secret when does princeandrewtrial start know princewilliamaffair princecharlestamponking queenelizabethiienablesdeg,secret princeandrewtrial start know princewilliamaffair princecharlestamponking queenelizabethiienablesdeg,"['secret', 'princeandrewtrial', 'start', 'know', 'princewilliamaffair', 'princecharlestamponking', 'queenelizabethiienablesdeg']",secret princeandrewtrial start know princewilliamaffair princecharlestamponking queenelizabethiienablesdeg,secret princeandrewtrial start know princewilliamaffair princecharlestamponking queenelizabethiienablesdeg,secret princeandrewtrial start know princewilliamaffair princecharlestamponking queenelizabethiienablesdeg
44,Marie Bloomer,"RT @S3cret_Squirr3l: #princewilliamaffair 

Like father like son. https://t.co/5fRrXL04vN","rt @s3cret_squirr3l: #princewilliamaffair 

like father like son. https://t.co/5frrxl04vn",rt @s3cret_squirr3l: #princewilliamaffair like father like son. https://t.co/5frrxl04vn,rt @s3cret_squirr3l: #princewilliamaffair like father like son. ,rt @s3cret_squirr3l: #princewilliamaffair like father like son. ,rt _squirr3l: #princewilliamaffair like father like son. ,rt  squirr l   princewilliamaffair like father like son  ,squirr princewilliamaffair like father like,squirr princewilliamaffair like father like,"['squirr', 'princewilliamaffair', 'like', 'father', 'like']",squirr princewilliamaffair like father like,squirr princewilliamaffair like father,squirr princewilliamaffair like father
45,Marie Bloomer,RT @brenbrenchie: #PrinceAndrewSued is a nonce who is being sued! That’s the only news that’s relevant right now. Second place is #PrinceWi…,rt @brenbrenchie: #princeandrewsued is a nonce who is being sued! that’s the only news that’s relevant right now. second place is #princewi…,rt @brenbrenchie: #princeandrewsued is a nonce who is being sued! that’s the only news that’s relevant right now. second place is #princewi…,rt @brenbrenchie: #princeandrewsued is a nonce who is being sued! that’s the only news that’s relevant right now. second place is #princewi…,rt @brenbrenchie: #princeandrewsued is a nonce who is being sued! that’s the only news that’s relevant right now. second place is #princewi…,rt : #princeandrewsued is a nonce who is being sued! that’s the only news that’s relevant right now. second place is #princewi…,rt    princeandrewsued is a nonce who is being sued  that s the only news that s relevant right now  second place is  princewi ,princeandrewsued nonce being sued that only news that relevant right second place princewi,princeandrewsued nonce sued news relevant right second place princewi,"['princeandrewsued', 'nonce', 'sued', 'news', 'relevant', 'right', 'second', 'place', 'princewi']",princeandrewsued nonce sue news relevant right second place princewi,princeandrewsued nonce sue news relevant right second place princewi,princeandrewsued nonce sue news relevant right second place princewi
46,Marie Bloomer,"RT @jared_secret: #Sussexsquad, every time they lie about H&amp;M, we should get that trash ass “royal” family trending for their degeneracy!…","rt @jared_secret: #sussexsquad, every time they lie about h&amp;m, we should get that trash ass “royal” family trending for their degeneracy!…","rt @jared_secret: #sussexsquad, every time they lie about h&amp;m, we should get that trash ass “royal” family trending for their degeneracy!…","rt @jared_secret: #sussexsquad, every time they lie about h&amp;m, we should get that trash ass “royal” family trending for their degeneracy!…","rt @jared_secret: #sussexsquad, every time they lie about h&amp;m, we should get that trash ass “royal” family trending for their degeneracy!…","rt _secret: #sussexsquad, every time they lie about h&amp;m, we should get that trash ass “royal” family trending for their degeneracy!…",rt  secret   sussexsquad  every time they lie about h amp m  we should get that trash ass  royal  family trending for their degeneracy  ,secret sussexsquad every time they about should that trash royal family trending their degeneracy,secret sussexsquad every time trash royal family trending degeneracy,"['secret', 'sussexsquad', 'every', 'time', 'trash', 'royal', 'family', 'trending', 'degeneracy']",secret sussexsquad every time trash royal family trend degeneracy,secret sussexsquad every time trash royal family trend degeneracy,secret sussexsquad every time trash royal family trend degeneracy
47,Marie Bloomer,"RT @isexton: I fixed the picture for accuracy.
#princeandrewisnext #princewilliamaffair #MeghanMarkleWon https://t.co/oKCcmR5AJp","rt @isexton: i fixed the picture for accuracy.
#princeandrewisnext #princewilliamaffair #meghanmarklewon https://t.co/okccmr5ajp",rt @isexton: i fixed the picture for accuracy. #princeandrewisnext #princewilliamaffair #meghanmarklewon https://t.co/okccmr5ajp,rt @isexton: i fixed the picture for accuracy. #princeandrewisnext #princewilliamaffair #meghanmarklewon ,rt @isexton: i fixed the picture for accuracy. #princeandrewisnext #princewilliamaffair #meghanmarklewon ,rt : i fixed the picture for accuracy. #princeandrewisnext #princewilliamaffair #meghanmarklewon ,rt   i fixed the picture for accuracy   princeandrewisnext  princewilliamaffair  meghanmarklewon ,fixed picture accuracy princeandrewisnext princewilliamaffair meghanmarklewon,fixed picture accuracy princeandrewisnext princewilliamaffair meghanmarklewon,"['fixed', 'picture', 'accuracy', 'princeandrewisnext', 'princewilliamaffair', 'meghanmarklewon']",fix picture accuracy princeandrewisnext princewilliamaffair meghanmarklewon,fix picture accuracy princeandrewisnext princewilliamaffair meghanmarklewon,fix picture accuracy princeandrewisnext princewilliamaffair meghanmarklewon
48,Marie Bloomer,RT @jared_secret: Did you know that #PrinceWilliamAffair allegedly has another daughter with Rose Hanbury? That’s real messed up that #Prin…,rt @jared_secret: did you know that #princewilliamaffair allegedly has another daughter with rose hanbury? that’s real messed up that #prin…,rt @jared_secret: did you know that #princewilliamaffair allegedly has another daughter with rose hanbury? that’s real messed up that #prin…,rt @jared_secret: did you know that #princewilliamaffair allegedly has another daughter with rose hanbury? that’s real messed up that #prin…,rt @jared_secret: did you know that #princewilliamaffair allegedly has another daughter with rose hanbury? that’s real messed up that #prin…,rt _secret: did you know that #princewilliamaffair allegedly has another daughter with rose hanbury? that’s real messed up that #prin…,rt  secret  did you know that  princewilliamaffair allegedly has another daughter with rose hanbury  that s real messed up that  prin ,secret know that princewilliamaffair allegedly another daughter with rose hanbury that real messed that prin,secret know princewilliamaffair allegedly another daughter rose hanbury real messed prin,"['secret', 'know', 'princewilliamaffair', 'allegedly', 'another', 'daughter', 'rose', 'hanbury', 'real', 'messed', 'prin']",secret know princewilliamaffair allegedly another daughter rise hanbury real mess prin,secret know princewilliamaffair allegedly another daughter rise hanbury real mess prin,secret know princewilliamaffair allegedly another daughter rise hanbury real mess prin
49,Marie Bloomer,"RT @isexton: Prince Andrew. Another day, another scandal from the Royal Family. 
#PrinceAndrew #princewilliamaffair #princeandrewtrial http…","rt @isexton: prince andrew. another day, another scandal from the royal family. 
#princeandrew #princewilliamaffair #princeandrewtrial http…","rt @isexton: prince andrew. another day, another scandal from the royal family. #princeandrew #princewilliamaffair #princeandrewtrial http…","rt @isexton: prince andrew. another day, another scandal from the royal family. #princeandrew #princewilliamaffair #princeandrewtrial ","rt @isexton: prince andrew. another day, another scandal from the royal family. #princeandrew #princewilliamaffair #princeandrewtrial ","rt : prince andrew. another day, another scandal from the royal family. #princeandrew #princewilliamaffair #princeandrewtrial ",rt   prince andrew  another day  another scandal from the royal family   princeandrew  princewilliamaffair  princeandrewtrial ,prince andrew another another scandal from royal family princeandrew princewilliamaffair princeandrewtrial,prince andrew another another scandal royal family princeandrew princewilliamaffair princeandrewtrial,"['prince', 'andrew', 'another', 'another', 'scandal', 'royal', 'family', 'princeandrew', 'princewilliamaffair', 'princeandrewtrial']",prince andrew another another scandal royal family princeandrew princewilliamaffair princeandrewtrial,prince andrew another scandal royal family princeandrew princewilliamaffair princeandrewtrial,prince andrew another scandal royal family princeandrew princewilliamaffair princeandrewtrial
