,Unnamed: 0,user_name,text,clean_text,tx_len,dc_len,Num_words_ST,Num_word_text,compound,neg,neu,pos,st
0,0,GinaMcGalliard 🧜🏻‍♀️🌹🌕,"With not an ounce of charisma, brain cells, work ethic or human decency between them, indeed all they have to prop them up is their titles and proximity to the throne. It’s why Derangers are always harping about Kate being called “The Duchess of Cambridge.” #princewilliamaffair https://t.co/B5bTJmLNNU",ounce charisma brain cell work ethic human decency indeed prop title proximity throne derangers always harp kate call duchess cambridge princewilliamaffair,302,155,21,47,0.0,0.0,100.0,0.0,2
1,1,Troy Spencer,RT @Carol36994460: @ntsikasaunty @MirrorRoyal #princecharlecashforhonours  deadbeat father who stopped his security when he needed it most…,princecharlecashforhonours deadbeat father stop security need,139,61,6,16,5.16,25.6,46.5,27.900000000000002,1
2,2,Marie Bloomer,"RT @KeenKweenKate: The Future Future King adores his uncle, Noncy Drew! Being scumbags must run in the family.

#PrinceAndrew #PrinceWillia…",future king adore uncle noncy draw scumbags must family princeandrew princewillia,140,81,11,20,55.74,0.0,73.5,26.5,1
3,3,Marie Bloomer,"RT @willina_m: 2022 is the year of FO in FAFO for the british royal ( racist, pedophiles, scamsters) family who gleefully targetted an inno…",year fafo british royal racist pedophile scamsters family gleefully targetted inno,140,82,11,24,-61.24000000000001,28.599999999999998,71.39999999999999,0.0,0
4,4,Marie Bloomer,"RT @tennisfanv3: Distractions
#princewilliamaffair
#abolishthemonarchy",distraction princewilliamaffair abolishthemonarchy,70,50,3,5,-38.18,56.49999999999999,43.5,0.0,0
5,5,Marie Bloomer,"RT @KeenKweenKate: Kkkate: Yes, a flowy skirt. I won't wear anything underneath and the wind will do its job. Anyways, I'm off to my botox…",kkkate flowy skirt wear anything underneath wind anyways botox,139,62,9,25,0.0,0.0,100.0,0.0,2
6,6,Marie Bloomer,RT @duchessmeghanx: Isn't the #DailyFail tired of getting fed false information by the palace &amp; #princewilliamaffair ? This statement from…,dailyfail tire get false information palace princewilliamaffair statement,143,73,8,20,0.0,0.0,100.0,0.0,2
7,7,Marie Bloomer,RT @Ces_gurl: Didn’t the #dailyfail stuff up printing another front page lie regarding the Sussexes 😂 when will they mind their own busines…,gurl dailyfail stuff print another front page regard sussex mind busines,140,72,11,23,0.0,0.0,100.0,0.0,2
8,8,Marie Bloomer,"RT @tennisfanv3: Don’t forget
#PrinceAndrewSued
#PrinceAndrewTrial
#PrinceAndrew
#princewilliamaffair",forget princeandrewsued princeandrewtrial princeandrew princewilliamaffair,101,74,5,8,-22.63,32.2,67.80000000000001,0.0,0
9,9,Marie Bloomer,RT @JamaicaSussex: @CiciTee1 @FrodoKolo Nice try #princewilliamaffair https://t.co/ejR2pg1jp0,nice princewilliamaffair,93,24,2,8,42.15,0.0,26.3,73.7,1
10,10,Marie Bloomer,"RT @Lailaine0815: @Purify_toast17 Wow, that’s poignant and so very sad and mean spirited BUT it makes sense coming from #PrinceWilliamAffai…",toast poignant mean spirit make sense come princewilliamaffai,140,61,8,20,17.79,0.0,80.5,19.5,1
11,11,Supernatural TV show fan,"RT @jared_secret: I will continue to drag that trash ass degenerate “royal” family! 

#PrinceAndrewTrial 
#PrinceWilliamAffair 
#PrinceChar…",secret continue drag trash degenerate royal family princeandrewtrial princewilliamaffair princechar,140,99,10,16,-22.63,17.4,82.6,0.0,0
12,12,Marie Bloomer,"RT @jared_secret: I will continue to drag that trash ass degenerate “royal” family! 

#PrinceAndrewTrial 
#PrinceWilliamAffair 
#PrinceChar…",secret continue drag trash degenerate royal family princeandrewtrial princewilliamaffair princechar,140,99,10,16,-22.63,17.4,82.6,0.0,0
13,13,Marie Bloomer,RT @jess_abberton: These bots are really working hard #PrinceAndrew #princewilliamaffair #TheQueen https://t.co/X6pt5fC35B,abberton bot really work hard princeandrew princewilliamaffair thequeen,122,71,8,12,-17.25,19.3,80.7,0.0,0
14,14,Marie Bloomer,"RT @Meritocraticist: #PrinceAndrew faces calls to pay for his own security 
#PrinceAndrewTrial #PrinceAndrewSued #UKPaysPrinceAndrewSecurit…",princeandrew face call security princeandrewtrial princeandrewsued ukpaysprinceandrewsecurit,140,92,7,14,34.0,0.0,71.39999999999999,28.599999999999998,1
15,15,Marie Bloomer,RT @MalaikaHelena: He spoke about the invisible contract. Now who would benefit from all this misinformation at this exact time? Could it b…,speak invisible contract would benefit misinformation exact time could,140,70,9,23,17.79,18.7,56.89999999999999,24.4,1
16,16,Marie Bloomer,"RT @SouthernLady315: @KajolMomento @fanofprincephil I wonder, who thought this leak would make the #BorisResign government, #princewilliama…",wonder think leak would make borisresign government princewilliama,140,66,8,16,-34.0,25.5,74.5,0.0,0
17,17,Marie Bloomer,RT @GreenbackBoujee: Anyone else noticing how deceased Prince Phil’s name starts trending all of a sudden when news breaks on #PrinceWillia…,anyone else notice decease prince phil name start trend sudden news break princewillia,140,86,13,21,0.0,0.0,100.0,0.0,2
18,18,Marie Bloomer,"RT @Meritocraticist: His Royal Highnonce
#PrinceAndrewSued 

Other News
#CamillaTomineyIsALiar 
#RacistRoyalFamily
#PrinceWilliamIsABully
#…",royal highnonce princeandrewsued news camillatomineyisaliar racistroyalfamily princewilliamisabully,140,99,7,12,0.0,0.0,100.0,0.0,2
19,19,Marie Bloomer,"RT @ItsjustChante: Now that the #RoyalFamily is trying to #Diana #PrinceHarry here is #Diana's accurate prediction. 
#TriedToDianaPrinceHar…",royalfamily try diana princeharry accurate prediction triedtodianaprincehar,140,75,7,17,0.0,0.0,100.0,0.0,2
20,20,Marie Bloomer,RT @Lailaine0815: #PrinceWilliamAffair🌹Oh here’s the other woman…listen carefully below ⬇️ cause we warned you… https://t.co/v9a1TLLVVC,princewilliamaffair woman listen carefully cause warn,135,53,6,15,2.58,20.3,57.99999999999999,21.7,1
21,21,Marie Bloomer,RT @KeenKweenKate: Don’t let lawns distract you from #PrinceWilliamAffair in car parks dogging random women and men. Don’t let silly rats d…,lawn distract princewilliamaffair park dog random woman silly rat,140,65,9,22,-27.32,21.4,68.0,10.7,0
22,22,Marie Bloomer,"RT @ogfactsmachine: Brit media stays trying to convince us this is what true love looks like lmao

#PrinceWilliam
#PrinceWilliamisaCheater…",brit medium stay try convince true love look like lmao princewilliam princewilliamisacheater,139,92,12,19,93.71000000000001,0.0,31.2,68.8,1
23,23,Marie Bloomer,RT @ClassicStarlets: Why don't the British tabloids talk about #PrinceWilliamAffair with #rosehanbury We all know it's true! @piersmorgan @…,british tabloid talk princewilliamaffair rosehanbury know true,140,62,7,19,42.15,0.0,68.2,31.8,1
24,24,Marie Bloomer,"RT @safeasfuck: of all the things going on with the british royal family today, the Express chose to lead with this!!

 #PrinceAndrewTrial…",thing go british royal family today express choose lead princeandrewtrial,139,73,10,22,0.0,0.0,100.0,0.0,2
25,25,Marie Bloomer,"RT @byetwit: NOT news
H&amp;M's lawn, spotify/netflix deal

NEWS where Journalism is desperately needed
#PrinceWilliamAffair
#PrinceAndrewSued…",news lawn spotify netflix deal journalism desperately need princewilliamaffair princeandrewsued,143,95,10,16,-38.18,22.400000000000002,77.60000000000001,0.0,0
26,26,Marie Bloomer,"RT @SussexInspired: At the end of the day #BorisJohnson lied, #PrinceAndrew is a nonc* and #PrinceWilliamAffair is being protected by the #…",borisjohnson lie princeandrew nonc princewilliamaffair protect,140,62,6,22,38.18,0.0,65.8,34.2,1
27,27,Marie Bloomer,RT @shaymayne_sha: Who cares💞 Nonsense #princewilliamaffair #MeghanMarkleisaLiar #California #Califreaks https://t.co/nQh7Q8QISJ,care nonsense princewilliamaffair meghanmarkleisaliar california califreaks,128,75,6,10,12.8,27.3,40.400000000000006,32.300000000000004,1
28,28,Marie Bloomer,"RT @grundytv: @jared_secret and he had the nerve to try and give prince harry marital advice,,, #princewilliamaffair https://t.co/CYsWO1DOJk",secret nerve give prince harry marital advice princewilliamaffair,140,65,8,18,0.0,0.0,100.0,0.0,2
29,29,Marie Bloomer,"RT @KeenKweenKate: Oh how I wish I was a princess with a husband who adored me. But instead I am a welfare kkkween, with a husband that has…",wish princess husband adore instead welfare kkkween,140,51,7,28,74.3,0.0,44.2,55.800000000000004,1
30,30,Marie Bloomer,"RT @realfranzprusse: Numerous bots have been activated across UK reporter’s  Twitter accounts to basically feel sorry for the Queen, trash…",numerous bot activate across reporter twitter account basically feel sorry queen trash,139,86,12,20,-7.720000000000001,10.6,89.4,0.0,0
31,31,Marie Bloomer,"RT @Saneisha5: Karma is having a good day in the Monarchy and American politics 
@#karma #PrinceAndrew #princewilliamaffair https://t.co/Qw…",karma good monarchy american politics princeandrew princewilliamaffair,140,70,7,18,44.04,0.0,67.4,32.6,1
32,32,Marie Bloomer,RT @sussexsquadpod1: Since #QueenElizabeth is finally making decisions based on what we saw with #PrinceAndrew is she going to ungag the pr…,since queenelizabeth finally make decision base princeandrew go ungag,140,69,9,22,0.0,0.0,100.0,0.0,2
33,33,Marie Bloomer,"RT @Ces_gurl: Someone needs to tell William and Andrew that a happy Meghan, along with a much stronger Harry, will not be their whipping bo…",gurl someone need tell william andrew happy meghan along much strong harry whip,140,79,13,25,79.06,0.0,61.1,38.9,1
34,34,Marie Bloomer,"RT @byetwit: Since #PrinceWilliamAffair is so willing to take credit for making the #RacistRoyalFamily's ""tough"" decisions. We can blame hi…",since princewilliamaffair will take credit make racistroyalfamily tough decision blame,140,86,10,20,-7.720000000000001,28.9,51.9,19.3,0
35,35,Marie Bloomer,"RT @margmak: Leak…….
Surreptitious TIMING:
#Distraction 
#PartyGate #DowningStreet 
#BorisJohnsonResign #Scandal #SueGray #Andrew #PrinceAn…",leak surreptitious time distraction partygate downingstreet borisjohnsonresign scandal suegray andrew princean,140,110,11,13,-78.45,49.7,50.3,0.0,0
36,36,Marie Bloomer,RT @byetwit: Prove to me that #PrinceWilliamAffair didn't direct his friends at Viscount Rothermere's #DailyFail to print the lie about som…,prove princewilliamaffair direct friend viscount rothermere dailyfail print,140,75,8,21,49.39,0.0,68.60000000000001,31.4,1
37,37,Marie Bloomer,"RT @Lord_Belacqua: The Sussex Squad are desperate to abuse Rose Hanbury, a young mother of small children with lies.

I guess this just abo…",belacqua sussex squad desperate abuse rise hanbury young mother small child lie guess,140,85,13,24,-75.79,37.1,62.9,0.0,0
38,38,Marie Bloomer,"RT @sannetje_26: #TriedToDianaPrinceHarry 
And his family just because he married a black woman. Hell won't be good enough for these people…",triedtodianaprinceharry family marry black woman hell good enough people,140,72,9,21,-40.19,31.7,48.3,20.0,0
39,39,Marie Bloomer,"RT @ArchieStannumb1: Every time they attack Harry or Meghan without reason, please use #princewilliamaffair and #PrinceAndrew to respond.Ma…",every time attack harry meghan without reason please princewilliamaffair princeandrew respond,140,93,11,18,-62.019999999999996,36.0,64.0,0.0,0
40,40,Marie Bloomer,RT @DBFole13: Whatever happened to #princewilliamaffair ?,whatever happen princewilliamaffair,57,35,3,7,0.0,0.0,100.0,0.0,2
41,41,Marie Bloomer,"RT @MakanaSmakana: First #princewilliamaffair trended globally, then Flopiana (thanks @PaganTrelawney ) flopped with her birthday PR, now #…",first princewilliamaffair trend globally flopiana thank flop birthday,140,69,8,18,2.58,22.0,55.00000000000001,22.900000000000002,1
42,42,Marie Bloomer,"RT @ladyrocksavage: Let it be known there are reasons why we never got stories of #princewilliamaffair being a good soldier, an asset while…",know reason never story princewilliamaffair good soldier asset,140,62,8,23,2.4299999999999997,22.1,55.00000000000001,22.900000000000002,1
43,43,Marie Bloomer,"RT @jared_secret: When does #PrinceAndrewTrial start? I know #PrinceWilliamAffair #PrinceCharlesTamponKing, and #QueenElizabethIIenablesdeg…",secret princeandrewtrial start know princewilliamaffair princecharlestamponking queenelizabethiienablesdeg,140,106,7,12,0.0,0.0,100.0,0.0,2
44,44,Marie Bloomer,"RT @S3cret_Squirr3l: #princewilliamaffair 

Like father like son. https://t.co/5fRrXL04vN",squirr princewilliamaffair like father,89,38,4,8,36.120000000000005,0.0,54.50000000000001,45.5,1
45,45,Marie Bloomer,RT @brenbrenchie: #PrinceAndrewSued is a nonce who is being sued! That’s the only news that’s relevant right now. Second place is #PrinceWi…,princeandrewsued nonce sue news relevant right second place princewi,140,68,9,22,0.0,0.0,100.0,0.0,2
46,46,Marie Bloomer,"RT @jared_secret: #Sussexsquad, every time they lie about H&amp;M, we should get that trash ass “royal” family trending for their degeneracy!…",secret sussexsquad every time trash royal family trend degeneracy,142,65,9,21,0.0,0.0,100.0,0.0,2
47,47,Marie Bloomer,"RT @isexton: I fixed the picture for accuracy.
#princeandrewisnext #princewilliamaffair #MeghanMarkleWon https://t.co/oKCcmR5AJp",fix picture accuracy princeandrewisnext princewilliamaffair meghanmarklewon,128,75,6,12,0.0,0.0,100.0,0.0,2
48,48,Marie Bloomer,RT @jared_secret: Did you know that #PrinceWilliamAffair allegedly has another daughter with Rose Hanbury? That’s real messed up that #Prin…,secret know princewilliamaffair allegedly another daughter rise hanbury real mess prin,140,86,11,20,-36.120000000000005,20.0,80.0,0.0,0
49,49,Marie Bloomer,"RT @isexton: Prince Andrew. Another day, another scandal from the Royal Family. 
#PrinceAndrew #princewilliamaffair #princeandrewtrial http…",prince andrew another scandal royal family princeandrew princewilliamaffair princeandrewtrial,140,93,9,16,-44.04,26.6,73.4,0.0,0
